priceArea,productionGroup,startTime,quantityKwh
NO1,HYDRO,2021-01-01 12:00:00+00:00,1843.4648266254076
NO1,HYDRO,2021-01-02 12:00:00+00:00,1972.314960867561
NO1,HYDRO,2021-01-03 12:00:00+00:00,1808.8769937914997
NO1,HYDRO,2021-01-04 12:00:00+00:00,1094.8794564576228
NO1,HYDRO,2021-01-05 12:00:00+00:00,754.2154481462608
NO1,HYDRO,2021-01-06 12:00:00+00:00,868.1717279291775
NO1,HYDRO,2021-01-07 12:00:00+00:00,1603.9642858589616
NO1,HYDRO,2021-01-08 12:00:00+00:00,1202.699191851525
NO1,HYDRO,2021-01-09 12:00:00+00:00,1669.2929751368788
NO1,HYDRO,2021-01-10 12:00:00+00:00,682.3875743379342
NO1,HYDRO,2021-01-11 12:00:00+00:00,793.262325123045
NO1,HYDRO,2021-01-12 12:00:00+00:00,1797.6568706138542
NO1,HYDRO,2021-01-13 12:00:00+00:00,1245.7930903735648
NO1,HYDRO,2021-01-14 12:00:00+00:00,1663.638974432124
NO1,HYDRO,2021-01-15 12:00:00+00:00,1022.3118352347115
NO1,HYDRO,2021-01-16 12:00:00+00:00,1515.8035247085384
NO1,HYDRO,2021-01-17 12:00:00+00:00,2016.5516664494762
NO1,HYDRO,2021-01-18 12:00:00+00:00,1764.8692785681735
NO1,HYDRO,2021-01-19 12:00:00+00:00,661.9920576404861
NO1,HYDRO,2021-01-20 12:00:00+00:00,1531.9135417342757
NO1,HYDRO,2021-01-21 12:00:00+00:00,1606.7440081655905
NO1,HYDRO,2021-01-22 12:00:00+00:00,1585.8417276763407
NO1,HYDRO,2021-01-23 12:00:00+00:00,1698.3817368154782
NO1,HYDRO,2021-01-24 12:00:00+00:00,1641.8734525043467
NO1,HYDRO,2021-01-25 12:00:00+00:00,2237.746956232866
NO1,HYDRO,2021-01-26 12:00:00+00:00,1681.0459586423476
NO1,HYDRO,2021-01-27 12:00:00+00:00,1233.7957474080795
NO1,HYDRO,2021-01-28 12:00:00+00:00,1747.2641558422915
NO1,HYDRO,2021-02-01 12:00:00+00:00,1372.8298186747368
NO1,HYDRO,2021-02-02 12:00:00+00:00,1493.4015136908065
NO1,HYDRO,2021-02-03 12:00:00+00:00,1558.5229060345316
NO1,HYDRO,2021-02-04 12:00:00+00:00,1837.2656674021114
NO1,HYDRO,2021-02-05 12:00:00+00:00,1067.5427434352691
NO1,HYDRO,2021-02-06 12:00:00+00:00,1599.54397669559
NO1,HYDRO,2021-02-07 12:00:00+00:00,2067.3184192069557
NO1,HYDRO,2021-02-08 12:00:00+00:00,1351.1622689390035
NO1,HYDRO,2021-02-09 12:00:00+00:00,1192.7660388816441
NO1,HYDRO,2021-02-10 12:00:00+00:00,1843.0403095497206
NO1,HYDRO,2021-02-11 12:00:00+00:00,705.5497225306046
NO1,HYDRO,2021-02-12 12:00:00+00:00,1285.2018269239588
NO1,HYDRO,2021-02-13 12:00:00+00:00,1387.825851319969
